Adım		Kod	 X 	 Y 	 Z 	Genişlik	Yükseklik	Derinlik
1		Y01	0	0	0	50		58		65
2		Y01	0	0	58	50		58		65
3		Y01	0	0	116	50		58		65
4		Y01	0	0	174	50		58		65
5		Y01	0	50	0	50		58		65
6		Y01	0	50	58	50		58		65
7		Y01	0	50	116	50		58		65
8		Y01	0	50	174	50		58		65
9		Y01	0	100	0	50		58		65
10		Y01	0	100	58	50		58		65
11		Y01	0	100	116	50		58		65
12		Y01	0	100	174	50		58		65
13		Y01	0	150	0	50		58		65
14		Y01	0	150	58	50		58		65
15		Y01	0	150	116	50		58		65
16		Y01	0	150	174	50		58		65
17		Y03	0	200	0	7		10		28
18		Y03	0	200	10	7		10		28
19		Y03	0	200	20	7		10		28
20		Y03	0	200	30	7		10		28
21		Y03	0	200	40	7		10		28
22		Y03	0	200	50	7		10		28
23		Y03	0	200	60	7		10		28
24		Y03	0	200	70	7		10		28
25		Y03	0	200	80	7		10		28
26		Y03	0	200	90	7		10		28
27		Y03	0	200	100	7		10		28
28		Y03	0	200	110	7		10		28
29		Y03	0	200	120	7		10		28
30		Y03	0	200	130	7		10		28
31		Y03	0	200	140	7		10		28
32		Y03	0	200	150	7		10		28
33		Y03	0	200	160	7		10		28
34		Y03	0	200	170	7		10		28
35		Y03	0	200	180	7		10		28
36		Y03	0	200	190	7		10		28
37		Y03	0	200	200	7		10		28
38		Y03	0	200	210	7		10		28
39		Y03	0	200	220	7		10		28
40		Y03	0	207	0	7		10		28
41		Y03	0	207	10	7		10		28
42		Y03	0	207	20	7		10		28
43		Y03	0	207	30	7		10		28
44		Y03	0	207	40	7		10		28
45		Y03	0	207	50	7		10		28
46		Y03	0	207	60	7		10		28
47		Y03	0	207	70	7		10		28
48		Y03	0	207	80	7		10		28
49		Y03	0	207	90	7		10		28
50		Y03	0	207	100	7		10		28
51		Y03	0	207	110	7		10		28
52		Y03	0	207	120	7		10		28
53		Y03	0	207	130	7		10		28
54		Y03	0	207	140	7		10		28
55		Y03	0	207	150	7		10		28
56		Y03	0	207	160	7		10		28
57		Y03	0	207	170	7		10		28
58		Y03	0	207	180	7		10		28
59		Y03	0	207	190	7		10		28
60		Y03	0	207	200	7		10		28
61		Y03	0	207	210	7		10		28
62		Y03	0	207	220	7		10		28
63		Y03	0	214	0	7		10		28
64		Y03	0	214	10	7		10		28
65		Y03	0	214	20	7		10		28
66		Y03	0	214	30	7		10		28
67		Y03	0	214	40	7		10		28
68		Y03	0	214	50	7		10		28
69		Y03	0	214	60	7		10		28
70		Y03	0	214	70	7		10		28
71		Y03	0	214	80	7		10		28
72		Y03	0	214	90	7		10		28
73		Y03	0	214	100	7		10		28
74		Y03	0	214	110	7		10		28
75		Y03	0	214	120	7		10		28
76		Y03	0	214	130	7		10		28
77		Y03	0	214	140	7		10		28
78		Y03	0	214	150	7		10		28
79		Y03	0	214	160	7		10		28
80		Y03	0	214	170	7		10		28
81		Y03	0	214	180	7		10		28
82		Y03	0	214	190	7		10		28
83		Y03	0	214	200	7		10		28
